timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-10,19439.96000000,19457.21000000,19401.00000000,19412.98000000,19439.96000000,19457.21000000,19401.00000000,19412.98000000,3524.39795000,3524.39795000
2022-10-09,19057.74000000,20475.00000000,18959.68000000,19439.02000000,19057.74000000,20475.00000000,18959.68000000,19439.02000000,1690215.44019000,1690215.44019000
2022-10-02,18809.13000000,20385.86000000,18471.28000000,19056.80000000,18809.13000000,20385.86000000,18471.28000000,19056.80000000,2777070.91238000,2777070.91238000
2022-09-25,19417.45000000,19956.00000000,18125.98000000,18807.38000000,19417.45000000,19956.00000000,18125.98000000,18807.38000000,2285541.48793000,2285541.48793000
2022-09-18,21826.87000000,22799.00000000,19320.01000000,19416.18000000,21826.87000000,22799.00000000,19320.01000000,19416.18000000,2218565.59694000,2218565.59694000
2022-09-11,20000.30000000,21860.00000000,18510.77000000,21826.87000000,20000.30000000,21860.00000000,18510.77000000,21826.87000000,2146685.76233000,2146685.76233000
2022-09-04,19555.61000000,20576.25000000,19540.00000000,20000.30000000,19555.61000000,20576.25000000,19540.00000000,20000.30000000,1527594.84529000,1527594.84529000
2022-08-28,21516.70000000,21900.00000000,19520.00000000,19555.61000000,21516.70000000,21900.00000000,19520.00000000,19555.61000000,1343190.86000000,1343190.86000000
2022-08-21,24305.25000000,25211.32000000,20761.90000000,21515.61000000,24305.25000000,25211.32000000,20761.90000000,21515.61000000,1402957.39876000,1402957.39876000
2022-08-14,23174.39000000,25047.56000000,22664.69000000,24305.24000000,23174.39000000,25047.56000000,22664.69000000,24305.24000000,1251083.26468000,1251083.26468000
2022-08-07,23296.36000000,23647.68000000,22400.00000000,23174.39000000,23296.36000000,23647.68000000,22400.00000000,23174.39000000,951140.43388000,951140.43388000
2022-07-31,22577.13000000,24668.00000000,20706.50000000,23293.32000000,22577.13000000,24668.00000000,20706.50000000,23293.32000000,1282264.24492000,1282264.24492000
2022-07-24,20799.58000000,24276.74000000,20762.45000000,22579.68000000,20799.58000000,24276.74000000,20762.45000000,22579.68000000,1336219.23609000,1336219.23609000
2022-07-17,20861.11000000,21684.54000000,18910.94000000,20798.16000000,20861.11000000,21684.54000000,18910.94000000,20798.16000000,1043685.76303000,1043685.76303000
2022-07-10,19315.83000000,22527.37000000,19055.31000000,20862.47000000,19315.83000000,22527.37000000,19055.31000000,20862.47000000,1111996.98071000,1111996.98071000
2022-07-03,21038.08000000,21539.85000000,18626.00000000,19315.83000000,21038.08000000,21539.85000000,18626.00000000,19315.83000000,508544.13970000,508544.13970000
2022-06-26,20574.00000000,21888.00000000,19637.03000000,21038.07000000,20574.00000000,21888.00000000,19637.03000000,21038.07000000,570801.23178000,570801.23178000
2022-06-19,26574.53000000,26895.84000000,17622.00000000,20574.00000000,26574.53000000,26895.84000000,17622.00000000,20574.00000000,1153717.63754000,1153717.63754000
2022-06-12,29919.20000000,31765.64000000,26560.00000000,26574.53000000,29919.20000000,31765.64000000,26560.00000000,26574.53000000,528925.48795900,528925.48795900
2022-06-05,29468.10000000,32399.00000000,29282.36000000,29919.21000000,29468.10000000,32399.00000000,29282.36000000,29919.21000000,422401.40352000,422401.40352000
2022-05-29,30293.93000000,30670.51000000,28019.56000000,29468.10000000,30293.93000000,30670.51000000,28019.56000000,29468.10000000,430508.71991000,430508.71991000
2022-05-22,31328.89000000,31328.90000000,28654.47000000,30293.94000000,31328.89000000,31328.90000000,28654.47000000,30293.94000000,375096.22376000,375096.22376000
2022-05-15,34038.39000000,34243.15000000,26700.00000000,31328.89000000,34038.39000000,34243.15000000,26700.00000000,31328.89000000,964223.84927400,964223.84927400
2022-05-08,38468.35000000,40023.77000000,33713.95000000,34038.40000000,38468.35000000,40023.77000000,33713.95000000,34038.40000000,419979.58290000,419979.58290000
2022-05-01,39450.12000000,40797.31000000,37386.38000000,38468.35000000,39450.12000000,40797.31000000,37386.38000000,38468.35000000,368444.26814000,368444.26814000
2022-04-24,39678.11000000,42976.00000000,38536.51000000,39450.13000000,39678.11000000,42976.00000000,38536.51000000,39450.13000000,283885.03637000,283885.03637000
2022-04-17,42158.85000000,42414.71000000,39200.00000000,39678.12000000,42158.85000000,42414.71000000,39200.00000000,39678.12000000,259281.04870000,259281.04870000
2022-04-10,46407.36000000,47200.00000000,41868.00000000,42158.85000000,46407.36000000,47200.00000000,41868.00000000,42158.85000000,268118.29111000,268118.29111000
2022-04-03,46827.76000000,48189.84000000,44200.00000000,46407.35000000,46827.76000000,48189.84000000,44200.00000000,46407.35000000,312053.15964000,312053.15964000
2022-03-27,41262.11000000,46999.00000000,40467.94000000,46827.76000000,41262.11000000,46999.00000000,40467.94000000,46827.76000000,315436.15044000,315436.15044000
2022-03-20,37777.35000000,42400.00000000,37555.00000000,41262.11000000,37777.35000000,42400.00000000,37555.00000000,41262.11000000,323399.67100000,323399.67100000
2022-03-13,38420.80000000,42594.06000000,37155.00000000,37777.34000000,38420.80000000,42594.06000000,37155.00000000,37777.34000000,374777.65361000,374777.65361000
2022-03-06,37699.08000000,45400.00000000,37450.17000000,38420.81000000,37699.08000000,45400.00000000,37450.17000000,38420.81000000,376417.07830000,376417.07830000
2022-02-27,38386.89000000,40348.45000000,34322.28000000,37699.07000000,38386.89000000,40348.45000000,34322.28000000,37699.07000000,412335.93267000,412335.93267000
2022-02-20,42053.65000000,44751.40000000,38000.00000000,38386.89000000,42053.65000000,44751.40000000,38000.00000000,38386.89000000,243150.46162000,243150.46162000
2022-02-13,42380.87000000,45821.00000000,41645.85000000,42053.66000000,42380.87000000,45821.00000000,41645.85000000,42053.66000000,301990.47877000,301990.47877000
2022-02-06,37881.75000000,42656.00000000,36250.00000000,42380.87000000,37881.75000000,42656.00000000,36250.00000000,42380.87000000,258946.95322000,258946.95322000
2022-01-30,36244.55000000,38919.98000000,32917.17000000,37881.76000000,36244.55000000,38919.98000000,32917.17000000,37881.76000000,353702.62639100,353702.62639100
2022-01-23,43071.66000000,43505.00000000,34008.00000000,36244.55000000,43071.66000000,43505.00000000,34008.00000000,36244.55000000,354513.98432000,354513.98432000
2022-01-16,41864.62000000,44500.00000000,39650.00000000,43071.66000000,41864.62000000,44500.00000000,39650.00000000,43071.66000000,232059.06969000,232059.06969000
2022-01-09,47286.18000000,47570.00000000,40501.00000000,41864.62000000,47286.18000000,47570.00000000,40501.00000000,41864.62000000,264331.61587000,264331.61587000
2022-01-02,50775.48000000,52088.00000000,45678.00000000,47286.18000000,50775.48000000,52088.00000000,45678.00000000,47286.18000000,217379.64220000,217379.64220000
2021-12-26,46681.24000000,51810.00000000,45558.85000000,50775.49000000,46681.24000000,51810.00000000,45558.85000000,50775.49000000,209149.42595000,209149.42595000
2021-12-19,50053.90000000,50189.97000000,45456.00000000,46681.23000000,50053.90000000,50189.97000000,45456.00000000,46681.23000000,271834.80183000,271834.80183000
2021-12-12,49396.32000000,51936.33000000,46751.00000000,50053.90000000,49396.32000000,51936.33000000,46751.00000000,50053.90000000,272083.99753000,272083.99753000
2021-12-05,57274.89000000,59176.99000000,42000.30000000,49396.33000000,57274.89000000,59176.99000000,42000.30000000,49396.33000000,390528.91248800,390528.91248800
2021-11-28,58617.70000000,59444.00000000,53256.64000000,57274.88000000,58617.70000000,59444.00000000,53256.64000000,57274.88000000,315216.31943000,315216.31943000
2021-11-21,65519.11000000,66401.82000000,55600.00000000,58622.02000000,65519.11000000,66401.82000000,55600.00000000,58622.02000000,340150.61676000,340150.61676000
2021-11-14,63273.58000000,69000.00000000,62278.00000000,65519.10000000,63273.58000000,69000.00000000,62278.00000000,65519.10000000,294213.11270800,294213.11270800
2021-11-07,61299.81000000,64270.00000000,59405.00000000,63273.59000000,61299.81000000,64270.00000000,59405.00000000,63273.59000000,253033.72432000,253033.72432000
2021-10-31,60852.22000000,63710.63000000,57820.00000000,61299.80000000,60852.22000000,63710.63000000,57820.00000000,61299.80000000,314971.84980000,314971.84980000
2021-10-24,61528.32000000,67000.00000000,59510.63000000,60852.22000000,61528.32000000,67000.00000000,59510.63000000,60852.22000000,336367.00881000,336367.00881000
2021-10-17,54659.01000000,62933.00000000,53879.00000000,61528.33000000,54659.01000000,62933.00000000,53879.00000000,61528.33000000,362346.26317400,362346.26317400
2021-10-10,48200.01000000,56561.31000000,46891.00000000,54659.00000000,48200.01000000,56561.31000000,46891.00000000,54659.00000000,424292.25859900,424292.25859900
2021-10-03,43160.90000000,49228.08000000,40753.88000000,48200.01000000,43160.90000000,49228.08000000,40753.88000000,48200.01000000,290620.78115000,290620.78115000
2021-09-26,47241.75000000,47347.25000000,39600.00000000,43160.90000000,47241.75000000,47347.25000000,39600.00000000,43160.90000000,437174.23273000,437174.23273000
2021-09-19,46025.23000000,48843.20000000,43370.00000000,47241.75000000,46025.23000000,48843.20000000,43370.00000000,47241.75000000,289430.44387000,289430.44387000
2021-09-12,51756.88000000,52920.00000000,42843.05000000,46025.24000000,51756.88000000,52920.00000000,42843.05000000,46025.24000000,399602.39982000,399602.39982000
2021-09-05,48767.84000000,51900.00000000,46512.00000000,51756.88000000,48767.84000000,51900.00000000,46512.00000000,51756.88000000,327484.44363800,327484.44363800
2021-08-29,49239.22000000,50500.00000000,46250.00000000,48767.83000000,49239.22000000,50500.00000000,46250.00000000,48767.83000000,298905.69704200,298905.69704200
2021-08-22,46973.82000000,49757.04000000,43927.70000000,49239.22000000,46973.82000000,49757.04000000,43927.70000000,49239.22000000,357634.46215500,357634.46215500
2021-08-15,43794.36000000,48144.00000000,42779.00000000,46973.82000000,43794.36000000,48144.00000000,42779.00000000,46973.82000000,372867.97981100,372867.97981100
2021-08-08,39850.27000000,45310.00000000,37332.70000000,43794.37000000,39850.27000000,45310.00000000,37332.70000000,43794.37000000,463107.67071100,463107.67071100
2021-08-01,35381.02000000,42599.00000000,35205.78000000,39845.44000000,35381.02000000,42599.00000000,35205.78000000,39845.44000000,568598.50960600,568598.50960600
2021-07-25,31778.57000000,35398.00000000,29278.00000000,35381.02000000,31778.57000000,35398.00000000,29278.00000000,35381.02000000,383262.21715400,383262.21715400
2021-07-18,34259.00000000,34678.43000000,31020.00000000,31778.56000000,34259.00000000,34678.43000000,31020.00000000,31778.56000000,306160.98707900,306160.98707900
2021-07-11,35288.13000000,35293.78000000,32077.00000000,34258.99000000,35288.13000000,35293.78000000,32077.00000000,34258.99000000,359766.23540400,359766.23540400
