Date,Open,High,Low,Close,Volume,Market Cap
Nov-26-2022,41.4826,42.5118,41.2108,41.4229,44197499.628691986,661635401.9683747
Nov-25-2022,43.7086,43.7086,41.299,41.4826,52738447.35371179,660145780.3937498
Nov-24-2022,43.1785,43.7218,42.378,43.7086,71597933.0376569,674887340.2633187
Nov-23-2022,39.8376,44.04253131084995,39.7528,43.2168,87772902.68725869,672451718.4957142
Nov-22-2022,37.632,39.7995,37.1861,39.7985,59249149.88646288,603133378.442142
Nov-21-2022,38.1405,38.695,37.1222,37.632,63945386.119521916,595310064.1245968
Nov-20-2022,39.7974,40.8238,37.9777,38.0602,49601723.10169491,623733821.8062941
Nov-19-2022,39.2681,39.833694853554256,38.4509,39.7974,38923692.82403433,614182243.4982263
Nov-18-2022,39.7132,40.2566,38.8686,39.2681,49908349.373390555,619053120.5744246
Nov-17-2022,39.0057,40.3128,38.5772,39.7132,59866265.12195122,618418897.4994887
Nov-16-2022,40.8425,41.2472,38.6877,39.0057,65243374.530612245,626718662.525712
Nov-15-2022,40.5067,41.703,40.3091,40.7597,73909021.92885375,632593246.3488303
Nov-14-2022,40.5537,41.8288,38.8554,40.522,100718269.12121212,621570689.7250887
Nov-13-2022,39.9822,40.8272,38.8757,40.6366,84719705.73913044,614854768.2459928
Nov-12-2022,39.3236,40.4932,36.7934,39.9822,78506965.50197628,596924957.4225761
Nov-11-2022,39.3955,39.97552525790891,37.71672752875437,39.4332,108338835.76296297,600429277.5206281
Nov-10-2022,35.14641407004927,40.21605062434309,34.347227059268675,39.45899510850287,163265014.66666666,573229523.5443896
Nov-09-2022,42.199529271824,42.64839860530491,33.4768,35.0420853573121,179091494.05555555,605482716.3914413
Nov-08-2022,51.2766,51.8434,37.7625,42.10132091805904,137740658.94444445,724689849.9482402
Nov-07-2022,50.6763,52.3373,50.26,51.3001,95309630.39269407,787318096.554059
Nov-06-2022,53.8183,53.9537,50.691,50.7831,88347699.84415585,816800569.1041995
Nov-05-2022,53.8223,54.7594,53.53791176780304,53.8183,103912914.96402878,833257981.3811023
Nov-04-2022,50.5205,53.9783,50.4479,53.8927,96864777.19685039,807710263.8014101
Nov-03-2022,50.347893892949386,52.033794458772896,50.1819,50.4603,103339525.32330827,784249336.4419965
Nov-02-2022,50.2243,51.9142,49.6206,50.36831494314762,95880395.63934426,775687845.9897139
Nov-01-2022,52.6634,53.0622,50.11566908052327,50.2362,76022288.99570815,795058311.4830618
