Date,Open,High,Low,Close,Volume,Market Cap
Oct-30-2022,35.8774,37.1502,35.6804,36.4738,51530804.2264151,307879804.8353334
Oct-29-2022,35.394,36.6204,35.3908,35.8097,40287152.855967075,304725646.54806083
Oct-28-2022,34.8668,35.8669,34.348,35.4701,46804417.83739837,297306206.08526
Oct-27-2022,35.9764,37.1105,34.7598,35.0334,71227616.08064516,303705469.54547167
Oct-26-2022,34.9317,36.0563,34.8389,36.0532,82341995.856,300698109.1957328
Oct-25-2022,34.1823,36.334,34.1823,35.0219,59572869.45762712,295473522.3033828
Oct-24-2022,34.7331,35.0199,33.4226,34.1823,59431734.75590551,289481673.1085357
Oct-23-2022,34.5762,34.8766,33.6268,34.7286,31908517.05357143,290560148.37296504
Oct-22-2022,35.0693,35.1717,34.3959,34.57,45761106.45081967,294097756.8347536
Oct-21-2022,35.9621,36.0714,34.4854,35.0693,53607722.29433962,298218244.09533423
Oct-20-2022,37.0031,38.0471,35.6959,35.9189,49392188.03305785,314288776.49371684
Oct-19-2022,37.518,38.2953,36.8397,37.0031,46951171.575510204,318625230.7256639
Oct-18-2022,38.0783,38.2755,36.8487,37.6014,59625676.127490036,319481198.12680423
Oct-17-2022,38.6886,39.4742,37.605,38.0783,37595717.6412556,325554196.31493753
Oct-16-2022,38.788,39.5736,38.5334,38.6886,28348693.909836065,331120343.68789405
Oct-15-2022,39.9282,40.2695,38.5176,38.8729,25844397.463203464,335512069.9924934
Oct-14-2022,40.6709,42.2566,39.2821,39.9083,50465405.50413223,344068162.4595493
Oct-13-2022,40.0889,41.1529,36.5325,40.7576,44758605.18614718,331778997.47641176
Oct-12-2022,40.9554,41.2565,39.8472,40.0889,25979521.65254237,343846034.17442137
Oct-11-2022,41.8959,41.8959,40.73608004937335,40.9168,39832683.46606335,349499359.5935963
Oct-10-2022,43.5686,44.2388,41.9807,41.9807,35076329.258928575,364175552.28570765
Oct-09-2022,42.5684,43.886013372505,42.4046,43.6563,22484028.322033897,364092115.3561083
Oct-08-2022,42.3089,43.9037,41.8395,42.6114,31159253.57522124,363763982.0699217
Oct-07-2022,42.4982,43.538,42.2695,42.2898,40722782.62780269,363571325.60120076
Oct-06-2022,43.3172,43.9761,42.1032,42.4982,33365236.1124498,364196043.2232641
Oct-05-2022,43.8832,44.0014,42.1043,43.3172,30283805.191836733,365065079.05106235
Oct-04-2022,42.6323,44.3041,42.2916,43.9377,30009209.55102041,367205927.1811071
Oct-03-2022,40.5939,42.7468,40.2851,42.6323,30870564.90909091,353242828.7054708
Oct-02-2022,42.0441,42.4242,40.497,40.5939,22139045.85116279,353965226.8194141
Oct-01-2022,42.1805,42.825,41.7049,42.0441,31764571.704035874,358891849.3006324
Sep-30-2022,43.0674,43.7172,41.80696710781072,42.1976,38922345.64102564,363034852.31550556
Sep-29-2022,44.0365,44.4086,42.1821,43.0674,54615614.928571425,365593578.0089409
Sep-28-2022,42.4919,44.664,40.6526,44.0365,66164845.634920634,359777487.7023904
Sep-27-2022,42.1281,45.2328,42.0409,42.4919,69768192.38709678,369931003.3620479
Sep-26-2022,40.4278,42.3396,40.0227,42.1281,44375828.0859375,349576186.05314577
Sep-25-2022,41.1464,41.94915001074465,39.8575,40.4278,24358920.532258064,348359849.6134775
Sep-24-2022,42.1746,42.551,40.9916,41.169,44166504.92063492,355405042.4046828
Sep-23-2022,41.7543,42.506,39.6852,42.1746,52444064.972972974,349525793.74622387
Sep-22-2022,40.2154958921911,42.46770101782777,40.18090660578813,41.8409,101307990.70036101,350807979.1314838
Sep-21-2022,39.9147,43.7828,39.21765802302241,40.31029238626357,67403824.68148148,347355416.4119301
Sep-20-2022,39.9944,41.052241683829614,39.3461,39.9058,61244037.52173913,341130820.7994208
Sep-19-2022,39.6038,40.304,37.7455,40.1797,90094664.60966542,330874088.0668874
Sep-18-2022,44.8186,44.8186,39.2168,39.4258,29861475,367136415.88450646
Sep-17-2022,43.8991,44.8241,43.7338,44.8186,39484540.71729958,374540379.7909364
Sep-16-2022,44.4632,44.6357,42.8019,43.81092768479432,50513411.941176474,370449533.09043556
Sep-15-2022,47.5933,47.6372,44.2204,44.4632,48528186.18217054,389219075.06282514
Sep-14-2022,46.3757,47.8618,46.2629,47.5933,54327668.789915964,399379180.8019517
Sep-13-2022,52.108,52.108,46.1948,46.4695,45335383.206751056,419195757.89745444
Sep-12-2022,51.9001,54.2218,51.1477,51.9929,33021990.96047431,445532875.1243495
Sep-11-2022,52.3012,53.4614,51.0819,51.9082,26340259.879828326,444479711.95841014
Sep-10-2022,52.7167,53.1676,51.5966,52.3165,27712609.812765956,442685693.87712455
Sep-09-2022,50.2565,54.1387,50.0099,52.6474,24548376.227074236,440991936.51335543
Sep-08-2022,48.3113,50.288,48.2098,50.2565,20100143.593495935,415559876.23447365
Sep-07-2022,45.5978,48.975,45.2371,48.4646,23576733.699115045,397641996.8203351
Sep-06-2022,51.2951,52.4424,45.8171,45.8269,21831605.513944224,420034557.8065487
Sep-05-2022,50.53332981605767,51.348,48.7,51.348,19304563.723502304,422079817.3112308
Sep-04-2022,48.7002,51.3904,48.7002,50.53332981605767,16099399.472340425,424465118.8726649
Sep-03-2022,47.8252,49.4156,47.4326,48.7002,14896154.628205128,408723390.75153166
Sep-02-2022,47.5109,49.1313,46.7864,47.6874,14714677.768595042,404795959.9136469
Sep-01-2022,47.3661,47.8004,45.7052,47.5109,16079724.969827587,396375340.8907687
Aug-31-2022,47.3644,49.6953,47.3128,47.4195,20993080.12227074,411943714.51238346
Aug-30-2022,50.015,50.3696,46.6668,47.4626,27444906.17948718,413297993.2850949
Aug-29-2022,45.3768,50.016,45.2723,49.91218129869219,29115352.70042194,400917396.0019071
Aug-28-2022,45.7873,47.1993,45.2881,45.5851,28357080.94117647,390831944.09168154
Aug-27-2022,44.4798,45.8986,44.0368,45.7886,58707827.40520446,382706837.1684967
Aug-26-2022,48.4563,49.1585,44.0732,44.3875,57538667.49230769,400130549.90630347
Aug-25-2022,48.819,50.56912200431847,48.2352,48.4563,48407351.31818182,418274308.9034729
Aug-24-2022,49.4237,50.19957870953011,48.1546,48.9534,52117132.484375,416344945.0617563
Aug-23-2022,50.6179,50.8825,48.4303,49.6386,40422886.56790123,422065759.24340993
Aug-22-2022,50.658,50.658,46.9817,50.6179,21681517.917355374,414329091.1921439
Aug-21-2022,48.4979,50.8132,48.0135,50.658,20062796.2278481,418051701.1703784
Aug-20-2022,48.636,49.75235787145036,46.9393,48.4979,26444719.94331984,412568627.92331886
Aug-19-2022,51.6805,51.8979,46.9849,48.5277,34453643.67741936,416402616.1528611
Aug-18-2022,54.8253,55.7866,51.7886,51.7886,23776821.28448276,466648675.8600143
Aug-17-2022,56.1094,58.2819,54.3415,54.6023,26645278.742857143,475178821.324261
Aug-16-2022,57.8074,58.2823,55.91410442645802,56.1077,29833513.52838428,483071501.4015447
Aug-15-2022,58.8452,60.3476,57.1336,57.9175,33866566.62857143,495661729.4468604
Aug-14-2022,61.1205,63.2598,57.9063,58.8923,31863725.347639486,514095748.7963998
Aug-13-2022,61.0951,62.0858,60.584,60.9926,28303672.689655174,518372105.976591
Aug-12-2022,60.8675,61.3315,59.3059,61.0956,30145404.08163265,513000711.7634182
Aug-11-2022,62.8177,64.2193,60.4842,60.8675,39362919.36363637,532729643.47701544
Aug-10-2022,60.2435,64.2979,58.3152,62.8177,72978179.69874477,517148962.1414363
Aug-09-2022,64.7158,65.562,59.3324,60.2435,99077340.41851851,528361817.7231845
Aug-08-2022,65.6617,67.8371,64.5548,64.582,89639076.08365019,558189838.223077
Aug-07-2022,66.4082,67.7653,65.11211571049229,65.6617,94263958.14671814,560314804.6936697
Aug-06-2022,63.43,68.4251,62.9939,66.4082,54041033.161825724,554306747.4360814
Aug-05-2022,60.8007,63.7565,60.6365,63.1731,46336537.55364807,528919749.5219494
Aug-04-2022,61.2806,62.7838,60.0474,60.9369,41698394.65546218,518850376.15839356
Aug-03-2022,60.8226,63.770744965193536,59.1332,61.2582,57329341.44313726,523973096.1899032
Aug-02-2022,64.1984,64.2463,59.6951,60.8553,67914627.70542635,521536785.41683453
Aug-01-2022,63.503,68.46738561404938,62.7057123557462,64.0596,78946060.87692308,552905326.4693272
Jul-31-2022,62.8834,67.7408,62.0247,63.503,45718857.115830116,544819154.5067457
Jul-30-2022,63.5906,66.456,62.6068,62.8834,60949178.640926644,549350396.9198623
Jul-29-2022,65.142,66.94416844174688,62.0411,63.6246,81278941.61509433,542792876.8200741
Jul-28-2022,62.045,66.8055,60.848,65.1381,69868966.26938775,539871093.2723784
Jul-27-2022,57.9722,61.614,56.1776,61.614,45429543.96812749,490453490.0629684
Jul-26-2022,58.5604,58.5604,55.4834,57.83620344022126,47626465.64016736,479435861.57009065
Jul-25-2022,65.1392,65.5606,58.7153,58.7153,44438781.9437751,524044573.642603
Jul-24-2022,66.9861,67.7305,64.3934,65.1731,51085141.333333336,561358117.9519148
Jul-23-2022,66.2699,69.1055213710457,63.81537720870696,67.138,108355188.85925926,556918868.2411554
Jul-22-2022,61.1977,69.37843806855813,60.9285,66.3987,95073740.66909091,563128099.141864
Jul-21-2022,59.8882,61.7235,57.6232,61.1794,60482740.82644628,507095487.59556794
Jul-20-2022,62.9433,65.4395,58.7794,59.8882,67821722.2629482,532031488.44347703
Jul-19-2022,64.0089,65.0304,61.6465,62.9433,93478138.13138686,535247703.2177368
Jul-18-2022,54.4197,63.7173,54.4197,63.7173,53126629.4063745,503995703.3324841
Jul-17-2022,56.4042,57.6362,54.4197,54.4197,36522613.37142857,472165396.6704404
Jul-16-2022,54.43233698160604,56.759,52.7452,56.4761,52761218.95686275,461881504.23783576
Jul-15-2022,51.5031,55.235,51.0708,54.43233698160604,55441789.977186315,456144613.80320925
Jul-14-2022,49.0573,51.7112,47.3683,51.5031,37894119.843621396,413680692.4780668
Jul-13-2022,46.8056,49.0527,45.3776,49.0527,34836751.30041152,403771280.682721
Jul-12-2022,46.621,48.4918,46.219,46.8056,27063312.880658437,400419446.91688013
Jul-11-2022,49.9242,49.9242,46.529,46.621,23173194.275,411923340.9499008
Jul-10-2022,53.0686,53.1058,49.76985126533117,49.9138,21845935.952830188,433318703.2431264
Jul-09-2022,51.5949,53.706,51.5949,53.0125,32039270.104803495,448461858.12509584
Jul-08-2022,52.4997,53.7723,50.937,52.0835,36534650.623931624,443129372.4911955
Jul-07-2022,51.1982,52.9475,51.008,52.6074,29353057.6,439340511.9942096
