symbol,name,currency,stockExchange,exchangeShortName
IMXUSD,Impermax USD,USD,CCC,CRYPTO
MINAUSD,Mina USD,USD,CCC,CRYPTO
AUDIOUSD,Audius USD,USD,CCC,CRYPTO
LPTUSD,Livepeer USD,USD,CCC,CRYPTO
MOVRUSD,Moonriver USD,USD,CCC,CRYPTO
TELUSD,Telcoin USD,USD,CCC,CRYPTO
BORAUSD,BORA USD,USD,CCC,CRYPTO
RENUSD,Ren USD,USD,CCC,CRYPTO
WOOUSD,WOO Network USD,USD,CCC,CRYPTO
CHSBUSD,SwissBorg USD,USD,CCC,CRYPTO
VITEUSD,VITE USD,USD,CCC,CRYPTO
DVIUSD,Dvision Network USD,USD,CCC,CRYPTO
TRACUSD,OriginTrail USD,USD,CCC,CRYPTO
ALICEUSD,MyNeighborAlice USD,USD,CCC,CRYPTO
POLYUSD,Polymath USD,USD,CCC,CRYPTO
MDXUSD,Mandala Exchange Token USD,USD,CCC,CRYPTO
CHRUSD,Chromia USD,USD,CCC,CRYPTO
GTUSD,GateToken USD,USD,CCC,CRYPTO
OGNUSD,Origin Protocol USD,USD,CCC,CRYPTO
REEFUSD,Reef USD,USD,CCC,CRYPTO
ALPHAUSD,Alpha Finance Lab USD,USD,CCC,CRYPTO
UOSUSD,Ultra USD,USD,CCC,CRYPTO
FXUSD,Function X USD,USD,CCC,CRYPTO
FLUXUSD,Flux USD,USD,CCC,CRYPTO
WRXUSD,WazirX USD,USD,CCC,CRYPTO
BAKEUSD,BakeryToken USD,USD,CCC,CRYPTO
POWRUSD,Powerledger USD,USD,CCC,CRYPTO
AXELUSD,AXEL USD,USD,CCC,CRYPTO
ZYNUSD,Zynecoin USD,USD,CCC,CRYPTO
TRUEUSD,TrueChain USD,USD,CCC,CRYPTO
LEOUSD,UNUS SED LEO USD ,USD,CCC,CRYPTO
WBTCUSD,Wrapped Bitcoin USD ,USD,CCC,CRYPTO
BTCBUSD,Bitcoin BEP2 USD,USD,CCC,CRYPTO
BTTBUSDBTTUSD,,USD,CCC,CRYPTO
ZNNUSD,Zenon USD,USD,CCC,CRYPTO
XYOUSD,XYO USD,USD,CCC,CRYPTO
XNCUSD,XeniosCoin USD,USD,CCC,CRYPTO
XYMUSD,Symbol USD,USD,CCC,CRYPTO
WINUSD,WINkLink USD,USD,CCC,CRYPTO
ZRXUSD,0x USD,USD,CCC,CRYPTO
WILDUSD,Wilder World USD,USD,CCC,CRYPTO
STMXUSD,StormX USD,USD,CCC,CRYPTO
CUR-USD,,USD,CCC,CRYPTO
XDCUSD,XinFinNetwork USD,USD,CCC,CRYPTO
SUREUSD,inSure DeFi USD,USD,CCC,CRYPTO
XRCUSD,BitcoinRhodium USD,USD,CCC,CRYPTO
MIOTAUSD,IOTA USD,USD,CCC,CRYPTO
TKOUSD,Toko Token USD,USD,CCC,CRYPTO
SFUNDUSD,Seedify.fund USD,USD,CCC,CRYPTO
ZENUSD,Horizen USD,USD,CCC,CRYPTO
ZELUSD,ZelCash USD,USD,CCC,CRYPTO
ZBUSD,ZB Token USD,USD,CCC,CRYPTO
ZILUSD,Zilliqa USD,USD,CCC,CRYPTO
XLTUSD,Nexalt USD,USD,CCC,CRYPTO
ZANOUSD,Zano USD,USD,CCC,CRYPTO
TFUELUSD,ThetaFuel USD,USD,CCC,CRYPTO
AVAUSD,Travalacom USD,USD,CCC,CRYPTO
SNGLSUSD,SingularDTV USD,USD,CCC,CRYPTO
CROUSD,CryptocomCoin USD,USD,CCC,CRYPTO
XDNUSD,DigitalNote USD,USD,CCC,CRYPTO
XDBUSD,DigitalBits USD,USD,CCC,CRYPTO
ZECUSD,Zcash USD,USD,CCC,CRYPTO
YFIUSD,yearnfinance USD,USD,CCC,CRYPTO
USTUSD,TerraUSD USD,USD,CCC,CRYPTO
XAUTUSD,Tether Gold USD,USD,CCC,CRYPTO
XVSUSD,Venus USD,USD,CCC,CRYPTO
XUCUSD,Exchange Union USD,USD,CCC,CRYPTO
XASUSD,Asch USD,USD,CCC,CRYPTO
XSTUSD,Stealth USD,USD,CCC,CRYPTO
XPRTUSD,Persistence USD,USD,CCC,CRYPTO
LUNA1USD,Terra USD,USD,CCC,CRYPTO
