symbol,name,currency,stockExchange,exchangeShortName
PIVXUSD,PIVX USD,USD,CCC,CRYPTO
VTCUSD,Vertcoin USD,USD,CCC,CRYPTO
WINGSUSD,Wings USD,USD,CCC,CRYPTO
OMGUSD,OMG Network USD,USD,CCC,CRYPTO
KINUSD,Kin USD,USD,CCC,CRYPTO
BTCUSD,Bitcoin USD,USD,CCC,CRYPTO
SALTUSD,SALT USD,USD,CCC,CRYPTO
XMRUSD,Monero USD,USD,CCC,CRYPTO
EDGUSD,Edgeless USD,USD,CCC,CRYPTO
WAVESUSD,Waves USD,USD,CCC,CRYPTO
MCAPUSD,MCAP USD,USD,CCC,CRYPTO
QTUMUSD,Qtum USD,USD,CCC,CRYPTO
ADAUSD,Cardano USD,USD,CCC,CRYPTO
LINKUSD,Chainlink USD,USD,CCC,CRYPTO
MTLUSD,Metal USD,USD,CCC,CRYPTO
ARKUSD,Ark USD,USD,CCC,CRYPTO
DNTUSD,district0x USD,USD,CCC,CRYPTO
TRXUSD,TRON USD,USD,CCC,CRYPTO
BCNUSD,Bytecoin USD,USD,CCC,CRYPTO
MAIDUSD,MaidSafeCoin USD,USD,CCC,CRYPTO
UBQUSD,Ubiq USD,USD,CCC,CRYPTO
MONAUSD,MonaCoin USD,USD,CCC,CRYPTO
NXTUSD,Nxt USD,USD,CCC,CRYPTO
STORJUSD,Storj USD,USD,CCC,CRYPTO
REPUSD,Augur USD,USD,CCC,CRYPTO
QRLUSD,Quantum Resistant Ledger USD,USD,CCC,CRYPTO
USDTUSD,Tether USD,USD,CCC,CRYPTO
AEUSD,Aeternity USD,USD,CCC,CRYPTO
STEEMUSD,Steem USD,USD,CCC,CRYPTO
PARTUSD,Particl USD,USD,CCC,CRYPTO
EMC2USD,Einsteinium USD,USD,CCC,CRYPTO
TRIBEUSD,Tribe USD,USD,CCC,CRYPTO
KNCUSD,Kyber Network USD,USD,CCC,CRYPTO
BATUSD,BasicAttentionToken USD,USD,CCC,CRYPTO
BNBUSD,Binance Coin USD,USD,CCC,CRYPTO
ETCUSD,Ethereum Classic USD,USD,CCC,CRYPTO
ETPUSD,Metaverse ETP USD,USD,CCC,CRYPTO
PYRUSD,Vulcan Forged PYR USD,USD,CCC,CRYPTO
BONOUSD,Bonorum USD,USD,CCC,CRYPTO
