timestamp,open,high,low,close,volume
2022-10-07,36.5800,37.6000,34.3345,34.5300,43004756
2022-09-30,37.2400,37.2700,35.4200,36.0100,43510969
2022-09-23,39.6200,39.9100,37.0150,37.4600,33305958
2022-09-16,43.2000,43.4750,39.8650,40.3500,23358593
2022-09-09,41.3900,43.1950,41.2600,43.0400,18431711
2022-09-02,42.7400,43.0400,41.1850,41.2800,19933357
2022-08-26,44.3400,44.3700,42.9300,42.9800,13947062
2022-08-19,45.5000,45.8650,44.5350,44.6800,14764096
2022-08-12,44.1300,45.5690,43.8100,45.5400,15248781
2022-08-05,44.1400,44.2400,43.1000,43.7200,17345151
2022-07-29,42.2600,44.5400,42.0650,44.3400,20192836
2022-07-22,41.2900,42.5100,40.4500,42.2600,20271544
2022-07-15,41.1100,41.4250,39.9900,41.0000,20442236
2022-07-08,41.1800,41.9599,40.4150,41.2300,16516729
2022-07-01,41.7300,42.1800,40.2700,41.5900,21902776
2022-06-24,39.1800,41.8300,39.0800,41.8100,26004819
2022-06-17,40.1000,40.3600,38.6300,39.0800,55123001
2022-06-10,44.1500,44.2500,41.1500,41.1700,31937898
2022-06-03,44.3500,44.5500,42.9050,43.8400,40086452
2022-05-27,42.6800,44.8400,42.1100,44.8200,37146372
2022-05-20,42.9600,43.3000,41.5900,42.3500,42311057
2022-05-13,44.4200,44.4200,41.3700,43.0900,100888891
2022-05-06,46.7300,46.8900,44.3300,44.8300,75044869
2022-04-29,49.3100,49.4500,46.4900,46.6000,50815544
2022-04-22,48.6700,50.9700,48.3800,49.3700,31991669
2022-04-14,49.5600,49.7900,48.6200,48.7600,25284145
2022-04-08,49.2600,49.9600,48.6950,49.6700,28154060
2022-04-01,47.1600,49.3100,47.1600,49.2800,25066316
2022-03-25,46.9500,47.2200,46.0900,47.1300,18571040
2022-03-18,46.2200,47.4400,45.4100,47.2300,25543367
2022-03-11,46.5800,46.8800,45.3700,45.8700,34582883
2022-03-04,45.2700,46.7100,44.5900,46.6700,35069933
2022-02-25,44.6000,45.8950,43.0000,45.8600,30552158
2022-02-18,45.4600,45.6900,44.5410,44.6800,29284068
2022-02-11,46.6899,47.4250,45.1400,45.4200,32433977
2022-02-04,46.5700,47.9345,46.3400,46.6900,29263394
2022-01-28,46.4700,47.6700,44.8000,46.8200,58979404
2022-01-21,47.9900,48.5000,46.7750,46.8900,34606676
2022-01-14,48.8500,49.3500,47.7300,48.2900,29982809
2022-01-07,51.9800,51.9800,48.8800,49.2700,46810928
2021-12-31,50.0600,52.1700,49.9600,51.8100,22821382
2021-12-23,49.0500,50.1900,48.7700,49.9200,25579129
2021-12-17,49.0500,50.6450,48.9300,50.0500,38010687
2021-12-10,48.1600,49.7000,48.1400,49.1900,30662581
2021-12-03,48.1700,48.7600,46.7400,47.8100,52419171
2021-11-26,48.2200,49.1950,47.7300,47.8000,27117606
2021-11-19,48.2100,48.5900,47.4600,48.2100,34453006
2021-11-12,48.3600,48.5600,47.7700,48.1900,23359508
2021-11-05,47.9400,48.8500,47.1450,48.2200,28543021
2021-10-29,47.7300,48.4000,47.3550,47.8200,36253224
2021-10-22,46.0300,47.7950,45.9300,47.6900,24264341
2021-10-15,44.6000,46.6000,44.3400,46.2000,28697154
2021-10-08,44.8400,45.7200,43.9500,44.6200,37667744
2021-10-01,45.8700,46.1400,44.4000,44.9300,39383726
2021-09-24,46.0700,46.9300,45.7201,45.9100,36216177
2021-09-17,47.3300,47.5050,46.7700,46.8500,28940421
2021-09-10,48.5500,48.6300,46.8300,46.8500,24643636
2021-09-03,46.8700,48.8050,46.7700,48.7300,32335673
2021-08-27,47.1400,47.1600,46.2600,46.8300,18881103
2021-08-20,46.6700,47.2367,46.1200,47.0000,25034109
2021-08-13,46.7300,46.7600,45.9900,46.7400,22728293
2021-08-06,46.6200,47.0100,46.2200,46.7300,26785240
2021-07-30,46.1700,46.9300,45.8800,46.3800,26751934
2021-07-23,45.8100,46.4800,45.1300,46.2800,26515449
2021-07-16,45.8900,46.5451,45.5600,46.2300,20360244
2021-07-09,44.7000,45.9399,44.4100,45.9100,18980069
2021-07-02,44.7800,44.9780,44.1650,44.7200,22525122
2021-06-25,44.2400,45.0300,44.0700,44.6900,18842955
2021-06-18,45.4500,45.7200,44.3300,44.3300,25379373
2021-06-11,44.6200,45.8100,44.6200,45.4400,21935487
2021-06-04,43.4800,44.7300,43.2800,44.5600,16619959
2021-05-28,42.5800,43.4100,42.5100,43.2600,26767463
2021-05-21,41.9100,42.5700,41.3300,42.3400,25455900
2021-05-14,42.5800,42.9380,41.0200,41.9500,29411512
